Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v1/training_v1_f01_1.pth,v1,f_01,100,0,[-3.127362   -0.74022502],[-1.09953118  0.41187654],2.33226,basinhop
models/v1/training_v1_f01_1.pth,v1,f_01,100,1,[-4.11829093  4.96789528],[-1.95942509  1.60086524],3.9997,basinhop
models/v1/training_v1_f01_1.pth,v1,f_01,100,2,[-1.63908391 -4.98918885],[-0.12868271 -1.56370597],3.74369,basinhop
models/v1/training_v1_f01_1.pth,v1,f_01,100,3,[-2.06025158 -4.99773515],[ 0.63566148 -1.52258357],4.39825,basinhop
models/v1/training_v1_f24_2.pth,v1,f_24,1000,0,[ 1.87227265 -1.83063086],[-1.09953118  0.41187654],3.72296,basinhop
models/v1/training_v1_f24_2.pth,v1,f_24,1000,1,[-2.2292645   4.96893322],[-1.95942509  1.60086524],3.37886,basinhop
models/v1/training_v1_f24_2.pth,v1,f_24,1000,2,[ 1.47495871 -1.95564361],[-0.12868271 -1.56370597],1.65084,basinhop
models/v1/training_v1_f24_2.pth,v1,f_24,1000,3,[ 1.88433031 -1.64126934],[ 0.63566148 -1.52258357],1.2543,basinhop
models/v1/training_v1_f24_1.pth,v1,f_24,100,0,[ 0.70533258 -0.03409621],[-1.09953118  0.41187654],1.85915,basinhop
models/v1/training_v1_f24_1.pth,v1,f_24,100,1,[-3.07608173  4.77770216],[-1.95942509  1.60086524],3.36738,basinhop
models/v1/training_v1_f24_1.pth,v1,f_24,100,2,[-4.95698289 -0.61071261],[-0.12868271 -1.56370597],4.92145,basinhop
models/v1/training_v1_f24_1.pth,v1,f_24,100,3,[0.77580354 0.30527244],[ 0.63566148 -1.52258357],1.83322,basinhop
models/v1/training_v1_f01_2.pth,v1,f_01,1000,0,[0.6888914  2.24982963],[-1.09953118  0.41187654],2.56447,basinhop
models/v1/training_v1_f01_2.pth,v1,f_01,1000,1,[1.38727017 2.88220015],[-1.95942509  1.60086524],3.5836,basinhop
models/v1/training_v1_f01_2.pth,v1,f_01,1000,2,[0.87281505 1.15079768],[-0.12868271 -1.56370597],2.89336,basinhop
models/v1/training_v1_f01_2.pth,v1,f_01,1000,3,[0.92966813 0.58875745],[ 0.63566148 -1.52258357],2.13171,basinhop
models/v1/training_v1_f01_3.pth,v1,f_01,10000,0,[2.3911046  2.81073537],[-1.09953118  0.41187654],4.23545,basinhop
models/v1/training_v1_f01_3.pth,v1,f_01,10000,1,[3.74352755 4.89245546],[-1.95942509  1.60086524],6.5847,basinhop
models/v1/training_v1_f01_3.pth,v1,f_01,10000,2,[2.53832281 3.34934734],[-0.12868271 -1.56370597],5.59026,basinhop
models/v1/training_v1_f01_3.pth,v1,f_01,10000,3,[3.22880794 3.63322798],[ 0.63566148 -1.52258357],5.7712,basinhop
models/v1/training_v1_f03_3.pth,v1,f_03,10000,0,[3.39075106 3.62248364],[-1.09953118  0.41187654],5.52002,basinhop
models/v1/training_v1_f03_3.pth,v1,f_03,10000,1,[1.7882928  4.20053015],[-1.95942509  1.60086524],4.5611,basinhop
models/v1/training_v1_f03_3.pth,v1,f_03,10000,2,[1.34075701 3.79366794],[-0.12868271 -1.56370597],5.55524,basinhop
models/v1/training_v1_f03_3.pth,v1,f_03,10000,3,[1.93150854 3.9878578 ],[ 0.63566148 -1.52258357],5.66076,basinhop
models/v1/training_v1_f03_2.pth,v1,f_03,1000,0,[2.14152628 4.79581436],[-1.09953118  0.41187654],5.45191,basinhop
models/v1/training_v1_f03_2.pth,v1,f_03,1000,1,[3.63192585 4.63586799],[-1.95942509  1.60086524],6.36195,basinhop
models/v1/training_v1_f03_2.pth,v1,f_03,1000,2,[2.30619534 3.08541147],[-0.12868271 -1.56370597],5.24814,basinhop
models/v1/training_v1_f03_2.pth,v1,f_03,1000,3,[-0.37370667  2.80865232],[ 0.63566148 -1.52258357],4.44729,basinhop
models/v1/training_v1_f03_1.pth,v1,f_03,100,0,[3.61363597 4.37689712],[-1.09953118  0.41187654],6.15917,basinhop
models/v1/training_v1_f03_1.pth,v1,f_03,100,1,[-2.29633525  4.9926947 ],[-1.95942509  1.60086524],3.40852,basinhop
models/v1/training_v1_f03_1.pth,v1,f_03,100,2,[-0.82651426  3.04068744],[-0.12868271 -1.56370597],4.65697,basinhop
models/v1/training_v1_f03_1.pth,v1,f_03,100,3,[1.09795678 4.1416315 ],[ 0.63566148 -1.52258357],5.68305,basinhop
models/v1/training_v1_f24_3.pth,v1,f_24,10000,0,[-3.5829425   1.90898416],[-1.09953118  0.41187654],2.89977,basinhop
models/v1/training_v1_f24_3.pth,v1,f_24,10000,1,[-3.032203    2.59200888],[-1.95942509  1.60086524],1.46055,basinhop
models/v1/training_v1_f24_3.pth,v1,f_24,10000,2,[-1.75412562  1.30553966],[-0.12868271 -1.56370597],3.29767,basinhop
models/v1/training_v1_f24_3.pth,v1,f_24,10000,3,[ 1.51190757 -1.1161957 ],[ 0.63566148 -1.52258357],0.9659,basinhop
