Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,RMSE,Optimizer
models/v1/training_v1_f01_1.pth,v1,f_01,100,0,[4.29756956 2.15536417],[0.42031587 2.52283619],3.89463,86.88770388929152,BasinHopping
models/v1/training_v1_f01_1.pth,v1,f_01,100,1,[-4.67842875  4.66411605],[1.17461792 3.72659439],5.92766,86.40294894827525,BasinHopping
models/v1/training_v1_f01_1.pth,v1,f_01,100,2,[ 3.95377019 -4.10919006],[1.03499848 1.21033172],6.06766,64.54377808218739,BasinHopping
models/v1/training_v1_f01_1.pth,v1,f_01,100,3,[-2.00021471 -4.94067027],[0.25550034 2.71984107],7.98572,70.69964694107526,BasinHopping
models/v1/training_v1_f01_1.pth,v1,f_01,100,4,[4.83054092 4.47392654],[3.86248348 3.55050717],1.33785,70.08191477483587,BasinHopping
models/v1/training_v1_f01_2.pth,v1,f_01,1000,0,[3.96189109 2.36226695],[0.42031587 2.52283619],3.54521,2.6668128470223396,BasinHopping
models/v1/training_v1_f01_2.pth,v1,f_01,1000,1,[4.66642376 4.2716671 ],[1.17461792 3.72659439],3.53409,2.321279138578656,BasinHopping
models/v1/training_v1_f01_2.pth,v1,f_01,1000,2,[1.86832997 3.89731603],[1.03499848 1.21033172],2.81324,2.044858803616004,BasinHopping
models/v1/training_v1_f01_2.pth,v1,f_01,1000,3,[0.57412337 3.59049468],[0.25550034 2.71984107],0.92712,2.1317510428239963,BasinHopping
models/v1/training_v1_f01_2.pth,v1,f_01,1000,4,[4.86410484 3.70100748],[3.86248348 3.55050717],1.01287,2.4349122950803777,BasinHopping
models/v1/training_v1_f01_3.pth,v1,f_01,10000,0,[2.46182816 2.20580097],[0.42031587 2.52283619],2.06598,0.36039356212729656,BasinHopping
models/v1/training_v1_f01_3.pth,v1,f_01,10000,1,[3.43138318 4.065478  ],[1.17461792 3.72659439],2.28207,0.4056633236180142,BasinHopping
models/v1/training_v1_f01_3.pth,v1,f_01,10000,2,[1.8815511  3.05153758],[1.03499848 1.21033172],2.0265,0.33530672519460303,BasinHopping
models/v1/training_v1_f01_3.pth,v1,f_01,10000,3,[2.27550034 2.71984107],[0.25550034 2.71984107],2.02,0.34739362293075043,BasinHopping
models/v1/training_v1_f01_3.pth,v1,f_01,10000,4,[4.17745275 4.63031237],[3.86248348 3.55050717],1.1248,0.3412210928472122,BasinHopping
models/v1/training_v1_f03_1.pth,v1,f_03,100,0,[4.55364854 4.94786302],[2.97423079 3.81078637],1.94615,16.83243351059062,BasinHopping
models/v1/training_v1_f03_1.pth,v1,f_03,100,1,[-2.52586418  4.99425778],[0.89316399 4.07829143],3.5396,33.102012672627396,BasinHopping
models/v1/training_v1_f03_1.pth,v1,f_03,100,2,[1.3279259  4.75099598],[1.5654198 4.1316086],0.66336,18.121627660214784,BasinHopping
