Path,Version,Function,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v1/training_v1_f03_3.pth,v1,f_03,0,[5.         4.33368262],[ 1.24576506 -1.24694881],6.7259,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,1,[5.         4.33368248],[-1.98315739  2.87156759],7.13458,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,2,[5.         4.33369096],[-3.02638092  2.8639543 ],8.15984,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,3,[5.         4.33367062],[-3.80365766  2.42703926],9.00775,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,0,[3.78606766 5.        ],[-2.25392616  2.842742  ],6.41368,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,1,[3.7859843 5.       ],[ 1.19675049 -1.34869765],6.85639,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,2,[3.78606772 5.        ],[-3.27721835  2.03402489],7.66075,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,3,[3.78606516 5.        ],[-2.85894937  2.6932639 ],7.03401,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,0,[5. 5.],[-2.64811741  2.62803826],8.00749,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,1,[5. 5.],[-2.53394404  2.82016692],7.84296,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,2,[5. 5.],[-3.27721835  2.03402489],8.79257,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,3,[5. 5.],[ 1.25245034 -1.25170003],7.28889,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,0,[-5.        -0.1707521],[-2.41779147  3.01087027],4.09762,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,1,[-5.         -0.17075839],[ 1.42288583 -0.96300211],6.47156,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,2,[-5.       -0.170774],[-3.02638092  2.8639543 ],3.62005,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,3,[-5.         -0.17077297],[-2.68038921  3.43787492],4.28986,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,0,[5. 5.],[-2.64811741  2.62803826],8.00749,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,1,[5. 5.],[-2.53394404  2.82016692],7.84296,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,2,[5. 5.],[-3.27721835  2.03402489],8.79257,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,3,[5. 5.],[ 1.25245034 -1.25170003],7.28889,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,0,[5. 5.],[-2.64811741  2.62803826],8.00749,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1,[5. 5.],[-2.53394404  2.82016692],7.84296,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,2,[5. 5.],[-3.27721835  2.03402489],8.79257,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,3,[5. 5.],[ 1.25245034 -1.25170003],7.28889,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,0,[5.        3.7548304],[ 1.18626657 -1.34115637],6.36503,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1,[5.         3.75478135],[ 1.36499418 -1.05849208],6.03166,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,2,[5.         3.75477948],[-2.91221685  3.05607876],7.94301,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,3,[5.         3.76012376],[-2.90960216  3.05425236],7.94104,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,0,[ 2.14343746 -1.56223255],[-2.85847872  2.69282324],6.56694,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1,[ 2.14343827 -1.56222617],[-2.53394404  2.82016692],6.40962,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,2,[ 2.14343919 -1.56223565],[ 1.19256825 -1.34580109],0.97519,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,3,[ 2.14343922 -1.56223551],[-2.98132687  2.50681397],6.54373,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,0,[ 1.37353362 -1.8426252 ],[-2.64811741  2.62803826],6.01336,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,1,[ 1.55508149 -1.09113892],[-2.53394404  2.82016692],5.65848,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,2,[ 1.55517677 -1.09118002],[-2.91221685  3.05607876],6.09568,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,3,[ 1.37353967 -1.84263131],[ 1.25245034 -1.25170003],0.60321,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,0,[5.         4.57272953],[-3.44703993  3.45509422],8.52066,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,1,[5.         4.57273377],[ 1.42288583 -0.96300211],6.59091,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,2,[5.         4.57272939],[ 1.40633451 -1.41298309],6.98163,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,3,[5.         4.57272936],[-3.19744554  2.57564401],8.43721,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,0,[3.59052931 5.        ],[-3.13077669  3.12664365],6.97749,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,1,[3.59053297 5.        ],[-3.02490871  2.8629307 ],6.95206,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,2,[3.59053316 5.        ],[-3.08002676  2.76400834],7.03534,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,3,[3.5904687 5.       ],[-2.85894937  2.6932639 ],6.84953,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,0,[5.        4.7160257],[-2.64811741  2.62803826],7.92801,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,1,[5.         4.71433501],[ 1.24906115 -1.24936593],7.04523,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,2,[5.        4.7160257],[-3.27721835  2.03402489],8.70089,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,3,[5.         4.71602577],[ 1.25245034 -1.25170003],7.04683,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,0,[3.44280545 4.11449291],[-3.44703993  3.45509422],6.92133,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1,[3.69425956 3.78234955],[-2.53394404  2.82016692],6.30209,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,2,[3.69425445 3.78233945],[-3.19123163  3.03356473],6.92608,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,3,[3.69427298 3.78235651],[ 1.25245034 -1.25170003],5.59502,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,0,[5.         3.70891516],[-3.0825418   2.76725706],8.13721,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1,[5.         3.70891398],[-2.53394404  2.82016692],7.58618,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,2,[5.         3.70890323],[-2.43064612  2.55830029],7.5192,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,3,[5.         3.70891613],[-2.68038921  3.43787492],7.68517,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,0,[3.62658682 4.28674072],[-2.64811741  2.62803826],6.49024,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,1,[3.62663607 4.28681558],[-2.53394404  2.82016692],6.33276,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,2,[3.62661004 4.28676708],[-3.6931038   2.62175691],7.50669,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,3,[3.87689798 3.98454074],[ 1.25245034 -1.25170003],5.85713,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,0,[ 1.20533397 -0.94690292],[-2.44334023  2.1055778 ],4.75715,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1,[ 1.20532934 -0.94691543],[-2.53394404  2.82016692],5.30783,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,2,[ 1.12865338 -1.10666978],[-3.27721835  2.03402489],5.4107,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,3,[ 1.20533628 -0.9469126 ],[-3.03277895  2.40744418],5.40494,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,0,[-3.56146144  3.3750762 ],[ 1.09108289 -1.08521163],6.44518,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,1,[ 1.22203938 -0.97353487],[-3.4276993   2.19285028],5.62548,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,2,[ 1.14345394 -1.13154468],[-2.1530523   2.58240663],4.96592,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,3,[ 1.14345494 -1.13154315],[ 1.25245034 -1.25170003],0.16223,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,0,[-2.5614026   1.89357966],[-2.64811741  2.62803826],0.73956,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,1,[ 0.95450238 -1.45525254],[-2.59336347  2.72569639],5.4834,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,2,[ 0.95449953 -1.45525059],[-3.61961723  3.16785734],6.50351,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,3,[ 1.38793405 -1.17786453],[ 1.09263741 -1.08625894],0.30918,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,0,[5.         3.87693948],[ 1.30744694 -1.15420232],6.24078,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,1,[4.93128613 3.85767791],[ 1.24652348 -1.24736844],6.29595,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,2,[4.9294193  3.86121297],[ 1.4222431  -0.96254119],5.96397,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,3,[4.93128469 3.85768576],[ 1.25245034 -1.25170003],6.296,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,0,[4.37911003 5.        ],[-2.64811741  2.62803826],7.41675,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,1,[4.3791138 5.       ],[-2.53394404  2.82016692],7.24859,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,2,[4.37910524 5.        ],[-2.91221685  3.05607876],7.54601,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,3,[4.37911151 5.        ],[ 1.25245034 -1.25170003],6.98998,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,0,[ 1.43386857 -1.1990719 ],[ 1.09108289 -1.08521163],0.3612,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,1,[-2.79580809  5.        ],[-2.96773627  2.95892309],2.04831,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,2,[ 1.43386862 -1.19907676],[ 1.40633451 -1.41298309],0.21567,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,3,[ 1.43387242 -1.19907771],[ 1.13492456 -1.44145538],0.38486,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,0,[-2.10899282  2.40797721],[-2.9101056   3.05449251],1.02945,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,1,[-2.11784834  2.41936936],[-2.53394404  2.82016692],0.57773,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,2,[ 1.14616952 -0.75108475],[ 1.40633451 -1.41298309],0.71119,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,3,[ 1.13092443 -0.72861161],[-2.85101239  3.14933533],5.55826,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,0,[5. 5.],[-2.64811741  2.62803826],8.00749,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,1,[5. 5.],[-2.53394404  2.82016692],7.84296,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,2,[5. 5.],[-3.27721835  2.03402489],8.79257,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,3,[5. 5.],[ 1.25245034 -1.25170003],7.28889,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,0,[5.         3.70036397],[-2.64811741  2.62803826],7.72293,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,1,[5.         3.70032592],[-2.53394404  2.82016692],7.58518,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,2,[5.         3.70032602],[-3.27721835  2.03402489],8.44328,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,3,[5.         3.70032589],[ 1.36499101 -1.05849158],5.98829,PSO
