Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,RMSE,Optimizer
models/v1/training_v1_f01_1.pth,v1,f_01,100,0,[5. 5.],[3.81938199 4.15056568],1.45444,125.6999000578338,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,1,[5. 5.],[3.81990017 4.15192244],1.45323,125.22361818239702,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,2,[5. 5.],[3.82565229 4.14996556],1.44971,125.03858447208961,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,3,[5. 5.],[3.8242938 4.1530502],1.449,125.08659871418023,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,4,[5. 5.],[3.82214224 4.15300585],1.45077,125.21480777918708,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,0,[5. 5.],[3.81938199 4.15056568],1.45444,7.243934719873823,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,1,[5. 5.],[3.81990017 4.15192244],1.45323,7.257230475693733,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,2,[5. 5.],[3.82565229 4.14996556],1.44971,7.26433472889217,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,3,[5. 5.],[3.8242938 4.1530502],1.449,7.270117658563142,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,4,[5. 5.],[3.82214224 4.15300585],1.45077,7.27870445480006,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,0,[3.78609774 5.        ],[3.81938199 4.15056568],0.85009,1.3210553463397006,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,1,[3.7859843 5.       ],[3.82552187 4.15203259],0.84889,1.2921771679115819,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,2,[3.78257179 4.99105444],[3.82565229 4.14996556],0.84219,1.2573853435685873,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,3,[3.78632188 5.        ],[3.82051815 4.14876515],0.85192,1.2296368585136832,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,4,[3.78612382 5.        ],[3.82214224 4.15300585],0.84776,1.2059323767249825,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,0,[5. 5.],[3.82224132 4.14976484],1.45259,45.76738940033063,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,1,[5. 5.],[3.82366066 4.149526  ],1.45158,46.07595348144114,PSO
