Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,RMSE,Optimizer
models/v1/training_v1_f01_1.pth,v1,f_01,100,0,[5. 5.],[3.81938199 4.15056568],1.45444,125.6999000578338,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,1,[5. 5.],[3.81990017 4.15192244],1.45323,125.22361818239702,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,2,[5. 5.],[3.82565229 4.14996556],1.44971,125.03858447208961,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,3,[5. 5.],[3.8242938 4.1530502],1.449,125.08659871418023,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,4,[5. 5.],[3.82214224 4.15300585],1.45077,125.21480777918708,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,5,[5. 5.],[3.82254865 4.15111349],1.45155,125.05023901635168,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,6,[5. 5.],[3.82326788 4.14955734],1.45188,125.1611699149973,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,7,[5. 5.],[3.82246657 4.15132889],1.45149,124.98082131065254,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,8,[5. 5.],[3.82014005 4.15171486],1.45315,124.84385596741178,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,9,[5. 5.],[3.82154437 4.15065163],1.45264,124.94899396820792,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,10,[5. 5.],[3.82051594 4.15228133],1.45252,124.68577503594686,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,11,[5. 5.],[3.81897771 4.15004967],1.45507,124.70367632219374,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,12,[5. 5.],[3.82104622 4.14879798],1.45412,124.74763522512208,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,13,[5. 5.],[3.82546932 4.15268152],1.44826,124.66900219581476,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,14,[5. 5.],[3.81935407 4.15140671],1.45397,124.75051290900424,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,15,[5. 5.],[3.82571988 4.14778645],1.45093,124.72177955928112,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,16,[5. 5.],[3.82095204 4.15250593],1.45203,124.78913426556647,PSO
