Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v1/training_v1_f03_3.pth,v1,f_03,10000,0,[5.         4.33368331],[ 1.30835906 -1.15355239],6.61347,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,1,[5.         4.33366863],[-2.80355733  2.32835582],8.0571,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,2,[5.         4.33354488],[-2.69358288  2.98277696],7.81126,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,3,[5.         4.33370134],[-2.57577719  3.17464319],7.66393,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,0,[3.78609774 5.        ],[ 1.30835906 -1.15355239],6.63366,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,1,[3.7859843 5.       ],[ 1.19594652 -1.3494886 ],6.85743,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,2,[3.78257179 4.99105444],[-2.69358288  2.98277696],6.7804,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,3,[3.78605764 5.        ],[-2.57577719  3.17464319],6.61852,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,0,[5. 5.],[ 1.30835906 -1.15355239],7.17596,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,1,[5. 5.],[-2.80355733  2.32835582],8.24822,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,2,[5. 5.],[-2.69358288  2.98277696],7.95364,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,3,[5. 5.],[-2.57577719  3.17464319],7.79258,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,0,[-5.         -0.17081638],[ 1.30835906 -1.15355239],6.38445,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,1,[-5.         -0.17081162],[-2.80355733  2.32835582],3.32719,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,2,[-5.         -0.17077733],[-2.69358288  2.98277696],3.90698,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,3,[-5.         -0.17102858],[-2.57577719  3.17464319],4.13163,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,0,[5. 5.],[ 1.30835906 -1.15355239],7.17596,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,1,[5. 5.],[-2.80355733  2.32835582],8.24822,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,2,[5. 5.],[-2.69358288  2.98277696],7.95364,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,3,[5. 5.],[-2.57577719  3.17464319],7.79258,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,0,[5. 5.],[ 1.30835906 -1.15355239],7.17596,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,1,[5. 5.],[-2.80355733  2.32835582],8.24822,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,2,[5. 5.],[-2.69358288  2.98277696],7.95364,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,3,[5. 5.],[-2.57577719  3.17464319],7.79258,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,0,[5.         3.75483576],[ 1.30835906 -1.15355239],6.1417,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,1,[5.        3.7547897],[-2.80355733  2.32835582],7.93286,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,2,[5.         3.75484494],[-2.69358288  2.98277696],7.73223,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,3,[5.         3.76012376],[-3.39454633  3.09285365],8.42102,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,0,[ 2.1432912 -1.5615624],[ 1.30835906 -1.15355239],0.92929,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,1,[ 2.14438629 -1.56070774],[-2.80355733  2.32835582],6.29341,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,2,[ 2.14218408 -1.55652622],[-2.69358288  2.98277696],6.63249,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,3,[ 2.14318603 -1.56072562],[-2.57577719  3.17464319],6.68523,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,0,[ 1.37247035 -1.8418989 ],[ 1.30835906 -1.15355239],0.69133,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,1,[ 1.55420334 -1.08730159],[-2.80355733  2.32835582],5.53686,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,2,[ 1.55515391 -1.09102827],[-2.69358288  2.98277696],5.88623,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,3,[ 1.37316698 -1.8420629 ],[-2.57577719  3.17464319],6.38447,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,10000,0,[5.         4.57273934],[ 1.30835906 -1.15355239],6.81312,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,10000,1,[5.         4.57273299],[-2.80355733  2.32835582],8.1199,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,10000,2,[5.         4.57275018],[-2.69358288  2.98277696],7.85616,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,10000,3,[5.         4.57273435],[-2.57577719  3.17464319],7.7037,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,0,[3.59052843 5.        ],[ 1.30835906 -1.15355239],6.56312,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,1,[3.5905256 5.       ],[-2.80355733  2.32835582],6.92979,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,2,[3.59053071 5.        ],[-2.69358288  2.98277696],6.59994,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,3,[3.59046567 5.        ],[-2.57577719  3.17464319],6.43074,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,100,0,[5.        4.7160257],[ 1.30835906 -1.15355239],6.93399,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,100,1,[5.         4.71433501],[ 1.24665935 -1.24760898],7.04502,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,100,2,[5.        4.7159511],[-2.69358288  2.98277696],7.88639,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,100,3,[5.         4.71598879],[-2.57577719  3.17464319],7.73099,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1000,0,[3.44296368 4.11450674],[ 1.30835906 -1.15355239],5.6841,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1000,1,[3.69470891 3.78380123],[-2.80355733  2.32835582],6.65926,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1000,2,[3.69483914 3.78353148],[-2.69358288  2.98277696],6.43841,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1000,3,[3.6953017 3.7844891],[-2.57577719  3.17464319],6.30066,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,0,[5.         3.70889538],[ 1.30835906 -1.15355239],6.10505,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,1,[5.         3.70894255],[-2.80355733  2.32835582],7.92474,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,2,[5.         3.70894279],[-2.69358288  2.98277696],7.72778,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,3,[5.         3.70891128],[-2.57577719  3.17464319],7.59459,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,0,[3.62618427 4.28622583],[ 1.30835906 -1.15355239],5.91299,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,1,[3.62685031 4.28709126],[-2.80355733  2.32835582],6.72211,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,2,[3.62598767 4.28752077],[-2.69358288  2.98277696],6.45285,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,3,[3.87720697 3.98535642],[-2.57577719  3.17464319],6.50371,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,0,[ 1.20430111 -0.94758977],[ 1.30835906 -1.15355239],0.23076,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,1,[ 1.20511686 -0.94616568],[-2.80355733  2.32835582],5.1761,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,2,[ 1.12868898 -1.10771854],[-2.69358288  2.98277696],5.59839,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,3,[ 1.204976   -0.94726462],[-2.57577719  3.17464319],5.59323,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,0,[-3.56167482  3.37479044],[ 1.30835906 -1.15355239],6.65005,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,1,[ 1.22121348 -0.9732588 ],[-2.80355733  2.32835582],5.20571,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,2,[ 1.1432397  -1.13183049],[-2.69358288  2.98277696],5.62594,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,3,[ 1.14348177 -1.1314962 ],[-2.57577719  3.17464319],5.68997,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,0,[-2.56072396  1.89466873],[ 1.30835906 -1.15355239],4.92559,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,1,[ 0.95423997 -1.45583539],[-2.80355733  2.32835582],5.33302,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,2,[ 0.95396216 -1.4552056 ],[-2.69358288  2.98277696],5.74459,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,3,[ 1.3851058  -1.18016463],[-2.57577719  3.17464319],5.88668,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,10000,0,[5.         3.87693948],[ 1.30835906 -1.15355239],6.23972,PSO
