Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v1/training_v1_f01_1.pth,v1,f_01,100,0,[5. 5.],[3.81938199 4.15056568],1.45444,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,1,[5. 5.],[3.81990017 4.15192244],1.45323,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,2,[5. 5.],[3.82565229 4.14996556],1.44971,PSO
models/v1/training_v1_f01_1.pth,v1,f_01,100,3,[5. 5.],[3.8242938 4.1530502],1.449,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,0,[5. 5.],[3.81938199 4.15056568],1.45444,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,1,[5. 5.],[3.81990017 4.15192244],1.45323,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,2,[5. 5.],[3.82565229 4.14996556],1.44971,PSO
models/v1/training_v1_f01_2.pth,v1,f_01,1000,3,[5. 5.],[3.8242938 4.1530502],1.449,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,0,[3.78609774 5.        ],[3.81938199 4.15056568],0.85009,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,1,[3.7859843 5.       ],[3.82552187 4.15203259],0.84889,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,2,[3.78257179 4.99105444],[3.82565229 4.14996556],0.84219,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,3,[3.78605764 5.        ],[3.8242938 4.1530502],0.84781,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,0,[5. 5.],[3.82224132 4.14976484],1.45259,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,1,[5. 5.],[3.82366066 4.149526  ],1.45158,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,2,[5. 5.],[3.82334226 4.15010762],1.4515,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,3,[5. 5.],[3.82302994 4.15176284],1.45078,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,0,[5.         3.75483576],[3.82224132 4.14976484],1.24221,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,1,[5.        3.7547897],[3.82366066 4.149526  ],1.2408,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,2,[5.         3.75484494],[3.82334226 4.15010762],1.24127,PSO
